"","symbol","ActivePremium","Alpha","AnnualizedAlpha","Beta","Beta-","Beta+","Correlation","Correlationp-value","InformationRatio","R-squared","TrackingError","TreynorRatio"
"185","HP",0.188,0.0328,0.4728,1.1787,1.1615,2.5865,0.5,0.0292,0.3807,0.25,0.4938,-0.0554
"186","HSIC",0.1424,0.0112,0.1433,0.7973,0.931,0.185,0.6524,0.0025,0.6233,0.4256,0.2285,-0.1391
"187","HES",0.0765,0.0194,0.2593,1.094,1.5993,0.5631,0.4804,0.0373,0.1589,0.2308,0.4818,-0.1616
"188","HOLX",-0.1528,-0.0088,-0.1009,1.094,1.2447,1.4025,0.5498,0.0147,-0.3808,0.3023,0.4012,-0.3712
"189","HD",0.1809,0.0114,0.1456,0.6329,0.513,0.8586,0.4828,0.0363,0.6229,0.2331,0.2904,-0.1144
"190","HON",-0.0304,0.0075,0.0935,1.3257,1.8006,0.5392,0.837,0,-0.1362,0.7006,0.2231,-0.214
"191","HRL",0.1938,0.0092,0.1163,0.5128,1.1112,-0.3882,0.4425,0.0578,0.7007,0.1958,0.2766,-0.116
"192","HST",-0.1345,0.0494,0.7843,2.8458,1.548,6.6802,0.7199,5e-04,-0.1688,0.5183,0.7969,-0.1363
"193","HPQ",0.1106,0.0125,0.1609,0.9829,1.097,0.4516,0.7582,2e-04,0.543,0.5749,0.2038,-0.1451
"194","HUM",-0.1785,0.0032,0.0386,1.5458,1.2208,0.0866,0.637,0.0034,-0.3801,0.4058,0.4696,-0.2793
"195","HBAN",-0.2731,0.0373,0.5526,2.3187,0.7818,5.1525,0.5462,0.0156,-0.2987,0.2983,0.9141,-0.227
"196","IDXX",0.1025,0.0265,0.3682,1.466,1.5997,0.8204,0.8202,0,0.3787,0.6728,0.2708,-0.1028
"197","ITW",0.0747,0.0144,0.1872,1.1874,1.3278,-0.0015,0.8298,0,0.378,0.6887,0.1976,-0.1504
"198","ILMN",0.4598,0.0374,0.5537,0.6287,1.2604,0.3393,0.3512,0.1403,1.1115,0.1234,0.4137,0.3285
