"","symbol","date","Ra"
"210","AMG",2007-12-31,-0.0495994488149414
"211","AMG",2008-01-31,-0.162353127776243
"212","AMG",2008-02-29,-0.0207336685734205
"213","AMG",2008-03-31,-0.0582253860980287
"214","AMG",2008-04-30,0.0947762923912436
"215","AMG",2008-05-30,0.0318099697990875
"216","AMG",2008-06-30,-0.121365780869633
"217","AMG",2008-07-31,-0.0406394540914635
"218","AMG",2008-08-29,0.1020832471313
"219","AMG",2008-09-30,-0.129909697326268
"220","AMG",2008-10-31,-0.440193098892397
"221","AMG",2008-11-28,-0.396291548023195
"222","AMG",2008-12-31,0.497143141268566
"223","AMG",2009-01-30,-0.0412692035944079
"224","AMG",2009-02-27,-0.104752578669981
"225","AMG",2009-03-31,0.159255208711001
"226","AMG",2009-04-30,0.362982389429422
"227","AMG",2009-05-29,-0.0130164299356503
"228","AMG",2009-06-29,0.0379611166729723
"229","AFL",2007-12-31,-0.00175361187995748
"230","AFL",2008-01-31,-0.0245886979106887
"231","AFL",2008-02-29,0.0255657308812114
"232","AFL",2008-03-31,0.0406987317592711
"233","AFL",2008-04-30,0.0264818952302894
"234","AFL",2008-05-30,0.0104943618926636
"235","AFL",2008-06-30,-0.0645020255095864
"236","AFL",2008-07-31,-0.114490376671405
"237","AFL",2008-08-29,0.0240444397143489
"238","AFL",2008-09-30,0.0361551730375387
"239","AFL",2008-10-31,-0.246297380176265
"240","AFL",2008-11-28,0.0516606430953417
"241","AFL",2008-12-31,-0.00993543151463605
"242","AFL",2009-01-30,-0.493673611599985
"243","AFL",2009-02-27,-0.268626902164897
"244","AFL",2009-03-31,0.155131434660052
"245","AFL",2009-04-30,0.492252415653527
"246","AFL",2009-05-29,0.23959745635264
"247","AFL",2009-06-29,-0.102816709832622
"248","A",2007-12-31,-0.0267547941032955
"249","A",2008-01-31,-0.0783886573351936
"250","A",2008-02-29,-0.0959837539022832
"251","A",2008-03-31,-0.0254817778693986
"252","A",2008-04-30,0.0127388558002122
"253","A",2008-05-30,0.237669784516535
"254","A",2008-06-30,-0.0494788379557668
"255","A",2008-07-31,0.0146315535211925
"256","A",2008-08-29,-0.0360508844560252
"257","A",2008-09-30,-0.146720365517436
"258","A",2008-10-31,-0.251854473656844
"259","A",2008-11-28,-0.151419387948032
"260","A",2008-12-31,-0.169941310559447
"261","A",2009-01-30,0.156749359563172
"262","A",2009-02-27,-0.23285386692933
"263","A",2009-03-31,0.108146858586185
"264","A",2009-04-30,0.18802883569358
"265","A",2009-05-29,-0.00164319464172447
"266","A",2009-06-29,0.120680389293428
"267","APD",2007-12-31,0.0028671945352261
"268","APD",2008-01-31,-0.0908444286268987
"269","APD",2008-02-29,0.0185118518042002
"270","APD",2008-03-31,0.0121429182602444
"271","APD",2008-04-30,0.0698914044091195
"272","APD",2008-05-30,0.0354569671368921
"273","APD",2008-06-30,-0.0256717606442414
"274","APD",2008-07-31,-0.0369202573565848
"275","APD",2008-08-29,-0.0352904997100715
"276","APD",2008-09-30,-0.249706149289042
"277","APD",2008-10-31,-0.151262870940703
"278","APD",2008-11-28,-0.178393333560721
"279","APD",2008-12-31,0.0623064172492533
"280","APD",2009-01-30,0.000596747747409365
"281","APD",2009-02-27,-0.0805170317750944
"282","APD",2009-03-31,0.22560076814565
"283","APD",2009-04-30,0.171555686726225
"284","APD",2009-05-29,-0.0169956944877199
"285","APD",2009-06-29,0.0192308224106987
"286","AKAM",2007-12-31,-0.0691417847264882
"287","AKAM",2008-01-31,-0.127167550703327
"288","AKAM",2008-02-29,0.164238372045087
