"","symbol","date","Ra","Rb"
"85","ATVI",2008-08-29,-0.0878265746384438,0.01219046453238
"86","ATVI",2008-09-30,-0.0597196898217975,-0.0907914337790846
"87","ATVI",2008-10-31,-0.192482185629979,-0.16942452376742
"88","ATVI",2008-11-28,-0.0609952072582012,-0.0748490425806452
"89","ATVI",2008-12-31,-0.261538422976469,0.00782157689705398
"90","ATVI",2009-01-30,0.013888914273301,-0.0856573429283144
"91","ATVI",2009-02-27,0.144977011821333,-0.109931197571492
"92","ATVI",2009-03-31,0.0428716658063748,0.0854044616224947
"93","ATVI",2009-04-30,0.029636518191128,0.0939250798621647
"94","ATVI",2009-05-29,0.121634264187856,0.0530814462553855
"95","ATVI",2009-06-29,0.0521522936874586,0.00880166771979773
"96","AYI",2007-12-31,0.141262818548163,-0.00275740541331559
