"","symbol","Alpha","performance","LMT_std","mean","period","interest_mean","unemp_mean","sector"
"226","SRE",0.0177,0,"8.82","1.66","2001",4.4,4.5,"Utilities"
"227","SHW",-0.0099,0,"6.99","-0.69","2001",4.4,4.5,"Consumer Discretionary"
"228","SPG",0.0278,1,"5.78","1.9","2001",4.4,4.5,"Real Estate"
"229","SJM",-0.0077,0,"4.89","-0.26","2001",4.4,4.5,"Consumer Staples"
"230","SNA",-0.0055,0,"8.37","-1.73","2001",4.4,4.5,"Consumer Discretionary"
"231","SO",0.0219,1,"6.25","2.92","2001",4.4,4.5,"Utilities"
"232","LUV",-0.0213,0,"8.63","-3.77","2001",4.4,4.5,"Consumer Discretionary"
"233","SWK",0.0377,1,"7.91","1.83","2001",4.4,4.5,"Consumer Discretionary"
"234","SBUX",-0.0129,0,"12.7","-2.73","2001",4.4,4.5,"Consumer Discretionary"
"235","STT",-0.0088,0,"8.22","-2.59","2001",4.4,4.5,"Finance"
"236","SYK",0.0125,0,"10.81","1.32","2001",4.4,4.5,"Health Care"
"237","SYY",-0.0065,0,"5.71","-1.03","2001",4.4,4.5,"Consumer Discretionary"
"238","TROW",-0.0068,0,"9.21","-2.86","2001",4.4,4.5,"Finance"
"239","TPR",0.043,1,"15.28","0.22","2001",4.4,4.5,"Consumer Discretionary"
"240","TGT",0.0175,0,"8.83","-0.18","2001",4.4,4.5,"Consumer Discretionary"
"241","TXN",-0.0109,0,"16.28","-4.67","2001",4.4,4.5,"Technology"
"242","TXT",-0.0065,0,"13.14","-2.07","2001",4.4,4.5,"Industrials"
"243","TMO",-0.0076,0,"12.28","-3.64","2001",4.4,4.5,"Industrials"
"244","TJX",0.0291,1,"5.95","2.1","2001",4.4,4.5,"Consumer Discretionary"
"245","TT",0.015,0,"11.27","-1.43","2001",4.4,4.5,"Industrials"
"246","TRV",-0.0167,0,"6.62","-2.01","2001",4.4,4.5,"Finance"
"247","TFC",0.0073,0,"1.61","0.32","2001",4.4,4.5,"Finance"
"248","TSN",0.0074,0,"12.14","-0.54","2001",4.4,4.5,"Consumer Staples"
"249","USB",-0.0013,0,"4.75","-0.1","2001",4.4,4.5,"Finance"
"250","UNP",-0.0032,0,"4.78","-0.86","2001",4.4,4.5,"Industrials"
"251","UPS",0.0043,0,"5.09","-0.85","2001",4.4,4.5,"Consumer Discretionary"
"252","UNH",0.0158,0,"6.87","1.5","2001",4.4,4.5,"Health Care"
"253","VLO",0.0287,1,"15.78","1.04","2001",4.4,4.5,"Energy"
"254","VRSN",0.0565,1,"23.76","-1.17","2001",4.4,4.5,"Technology"
"255","VZ",0.0313,1,"7.31","1.42","2001",4.4,4.5,"Telecommunications"
"256","VFC",0.0012,0,"8.44","-1.52","2001",4.4,4.5,"Consumer Discretionary"
"257","VTRS",0.0385,1,"10.16","3.66","2001",4.4,4.5,"Consumer Discretionary"
"258","VNO",0.0066,0,"3.81","0.88","2001",4.4,4.5,"Real Estate"
"259","VMC",0.0014,0,"8.46","-0.36","2001",4.4,4.5,"Basic Materials"
"260","WBA",-0.0142,0,"6.53","-1.45","2001",4.4,4.5,"Consumer Staples"
"261","WMT",0.0091,0,"8.33","-0.43","2001",4.4,4.5,"Consumer Discretionary"
"262","WM",0.0015,0,"8.28","0.12","2001",4.4,4.5,"Utilities"
"263","WAT",-0.0483,0,"18.53","-5.97","2001",4.4,4.5,"Health Care"
"264","WEC",3e-04,0,"7","0.76","2001",4.4,4.5,"Utilities"
"265","WFC",-0.0196,0,"2.1","-1.74","2001",4.4,4.5,"Finance"
"266","WELL",0.0708,1,"6.81","5.66","2001",4.4,4.5,"Real Estate"
"267","WDC",0.1612,1,"45.58","6.65","2001",4.4,4.5,"Technology"
"268","WY",0.0168,0,"7.57","-0.1","2001",4.4,4.5,"Real Estate"
"269","WHR",0.0443,1,"9.99","1.97","2001",4.4,4.5,"Consumer Discretionary"
"270","WMB",-0.0117,0,"8.45","-2.04","2001",4.4,4.5,"Utilities"
"271","WTW",-0.0339,0,"10.85","7.24","2001",4.4,4.5,"Finance"
"272","GWW",0.0373,1,"9.05","1.2","2001",4.4,4.5,"Consumer Discretionary"
"273","XEL",-0.0083,0,"6.46","0.48","2001",4.4,4.5,"Utilities"
"274","YUM",0.0408,1,"8.33","2.08","2001",4.4,4.5,"Consumer Discretionary"
"275","ZBH",-0.0163,0,"3.53","-1.37","2001",4.4,4.5,"Health Care"
"276","ZION",-0.009,0,"5.46","-1.07","2001",4.4,4.5,"Finance"
"277","GPS",0.0098,0,"20.47","-5.2","2001",4.4,4.5,"Consumer Discretionary"
"278","LEG",0.0393,1,"10.2","1.55","2001",4.4,4.5,"Consumer Discretionary"
"279","UNM",0.0191,0,"9.38","0.25","2001",4.4,4.5,"Finance"
"280","NOV",-0.0767,0,"12.26","-8.91","2001",4.4,4.5,"Industrials"
"281","FLS",0.034,1,"13.9","0.43","2001",4.4,4.5,"Industrials"
"282","XRX",0.1462,1,"28.23","6.92","2001",4.4,4.5,"Technology"
"283","AIV",-0.0033,0,"4.47","-0.34","2001",4.4,4.5,"Real Estate"
"284","HRB",0.0763,1,"4.28","7.35","2001",4.4,4.5,"Consumer Discretionary"
"285","KSS",0.0051,0,"9.04","-1.6","2001",4.4,4.5,"Consumer Discretionary"
"286","HOG",0.0559,1,"12.66","1.68","2001",4.4,4.5,"Consumer Discretionary"
"287","JWN",0.0231,1,"14.32","-1.37","2001",4.4,4.5,"Consumer Discretionary"
"288","M",0.0199,0,"14.21","-0.92","2001",4.4,4.5,"Consumer Discretionary"
"289","JEF",-0.0119,0,"3.08","-1.26","2001",4.4,4.5,"Finance"
"290","MAT",0.0114,0,"8.75","1.46","2001",4.4,4.5,"Consumer Discretionary"
"291","FLR",0.0239,1,"15.31","2.49","2001",4.4,4.5,"Industrials"
"292","GT",0.017,0,"12.88","-1.27","2001",4.4,4.5,"Consumer Discretionary"
"293","PCG",-0.0252,0,"19.79","-0.73","2001",4.4,4.5,"Utilities"
"294","AET",-0.0428,0,"10.5","-2.61","2001",4.4,4.5,"Utilities"
"295","SRCL",0.0075,0,"10.61","2.33","2001",4.4,4.5,"Utilities"
"296","EQT",0.0014,0,"11.1","-0.34","2001",4.4,4.5,"Energy"
"297","CA",0.1463,1,"34.53","6.79","2001",4.4,4.5,NA
"298","ANDV",0.0164,0,"12.63","1.01","2001",4.4,4.5,NA
"299","TWX",0.0917,1,"24.71","2.35","2001",4.4,4.5,NA
"300","PDCO",0.0064,0,"5.89","1.29","2001",4.4,4.5,"Health Care"
"301","DD",0.0085,0,"5.64","-0.22","2001",4.4,4.5,"Consumer Discretionary"
"302","AN",0.0966,1,"15.3","6.08","2001",4.4,4.5,"Consumer Discretionary"
"303","BBBY",0.0547,1,"11.39","2.07","2001",4.4,4.5,"Consumer Discretionary"
"304","MUR",0.0302,1,"9.62","2.17","2001",4.4,4.5,"Energy"
"305","R",0.0499,1,"12.8","2.93","2001",4.4,4.5,"Consumer Discretionary"
"306","TGNA",0.0073,0,"5.4","-0.3","2001",4.4,4.5,"Industrials"
"307","SWN",0.045,1,"15.2","2.86","2001",4.4,4.5,"Energy"
"308","URBN",0.0733,1,"23.52","6.04","2001",4.4,4.5,"Consumer Discretionary"
"309","PBI",0.0316,1,"6.88","1.93","2001",4.4,4.5,"Consumer Discretionary"
"310","AA",0.0284,1,"9.87","0.14","2001",4.4,4.5,"Industrials"
"311","THC",0.0296,1,"5.27","3.27","2001",4.4,4.5,"Health Care"
"312","CNX",-0.0085,0,"13.51","-0.62","2001",4.4,4.5,"Energy"
"313","ATI",0.0149,0,"12.31","-0.56","2001",4.4,4.5,"Industrials"
"314","NBR",-0.0655,0,"12.5","-8.87","2001",4.4,4.5,"Energy"
"315","BMS",0.0395,1,"6.39","2.63","2001",4.4,4.5,NA
"316","JBL",0.1033,1,"30.75","1.03","2001",4.4,4.5,"Technology"
"317","GHC",-0.0135,0,"4.38","-1.59","2001",4.4,4.5,"Consumer Discretionary"
"318","X",0.0187,0,"13.69","-0.6","2001",4.4,4.5,"Industrials"
"319","IGT",0.0015,0,"11.38","-0.89","2001",4.4,4.5,"Consumer Discretionary"
"320","LSI",0.042,1,"5.71","4.2","2001",4.4,4.5,"Real Estate"
"321","SLM",0.0216,0,"5.69","3.14","2001",4.4,4.5,"Finance"
"322","ANF",0.0891,1,"29.41","2.91","2001",4.4,4.5,"Consumer Discretionary"
"323","TER",0.0049,0,"18.67","-4.53","2001",4.4,4.5,"Industrials"
"324","MOLX",0.0012,0,"11.29","-2.85","2001",4.4,4.5,NA
"325","AMD",0.0538,1,"32.89","-1.3","2001",4.4,4.5,"Technology"
"326","FHN",0.0425,1,"7.75","3.17","2001",4.4,4.5,"Finance"
"327","HNZ",-0.012,0,"5.83","-1.16","2001",4.4,4.5,NA
"328","BIG",0.0246,1,"19.51","-1.02","2001",4.4,4.5,"Consumer Discretionary"
"329","TIE",0.0714,1,"31.43","-0.53","2001",4.4,4.5,NA
"330","GR",-0.083,0,"14.81","-5.7","2001",4.4,4.5,NA
"331","EP",0.0546,1,"39.48","-4.55","2001",4.4,4.5,"Energy"
"332","SVU",0.0581,1,"8.16","5.33","2001",4.4,4.5,NA
"333","TLAB",-0.0916,0,"19.8","-13.15","2001",4.4,4.5,NA
"334","ITT",0.0326,1,"5.93","1.9","2001",4.4,4.5,"Industrials"
"335","AYE",-0.0314,0,"19.4","-3.45","2001",4.4,4.5,NA
"336","ODP",0.1056,1,"14.13","7.63","2001",4.4,4.5,"Miscellaneous"
"337","NYT",0.0177,0,"7.28","0.28","2001",4.4,4.5,"Consumer Discretionary"
"338","CIEN",-0.0409,0,"29.27","-13.17","2001",4.4,4.5,"Utilities"
"339","KBH",-0.005,0,"12.06","-0.46","2001",4.4,4.5,NA
"340","CVG",0.0455,1,"12.28","3.79","2001",4.4,4.5,NA
