"","symbol","avg_return","Volatility"
"334","L",-0.0217,0.107288790529112
"335","FE",-0.0218,0.0949253754652369
"336","M",-0.0221,0.222701283401108
"337","CME",-0.0222,0.178201381411326
"338","MET",-0.0222,0.175581860293984
"339","MGM",-0.0223,0.662294443303456
"340","AXP",-0.0225,0.244128647328518
"341","A",-0.0225,0.138417594059551
"342","FDX",-0.0228,0.107944015237557
"343","CAT",-0.0232,0.15117468087957
"344","STZ",-0.0234,0.132497628199099
"345","NOV",-0.0235,0.170614118925949
"346","LRCX",-0.0235,0.1181152822467
"347","VMC",-0.0236,0.139041589215098
"348","MRO",-0.0236,0.122844708705237
"349","EBAY",-0.0237,0.139693135134055
"350","AIV",-0.0239,0.219976596808792
"351","SNI",-0.0239,0.123752658136094
"352","AMD",-0.024,0.234253104913792
"353","AVY",-0.024,0.128409920410897
"354","ETN",-0.0241,0.121155310110166
"355","EIX",-0.0242,0.0666043490891317
"356","COP",-0.0244,0.112163714804374
"357","ULTA",-0.0245,0.203515626783508
"358","CMA",-0.0248,0.137743123707243
"359","SYK",-0.025,0.097261816573241
"360","AAL",-0.026,0.446476276848654
"361","AMP",-0.0261,0.185578281103103
"362","HOG",-0.0262,0.231135014457015
"363","UAA",-0.0271,0.169215661972653
"364","DE",-0.0274,0.13581508689259
"365","MSI",-0.0275,0.172329253086683
"366","INCY",-0.0277,0.206675768462321
"367","NWL",-0.0279,0.199383728209696
"368","NDAQ",-0.028,0.127872556477243
"369","ADSK",-0.0284,0.186666035247754
"370","HIG",-0.0285,0.359940936956004
"371","UNH",-0.0286,0.149940153842176
"372","CAH",-0.0286,0.093207083850438
"373","MRK",-0.0292,0.104208429685498
"374","AEE",-0.0295,0.0930859146966801
"375","HUM",-0.0303,0.168822531341052
"376","WMB",-0.0305,0.137909041960339
"377","BA",-0.0307,0.115874056706474
"378","LUV",-0.0307,0.112461565450445
"379","AET",-0.0309,0.148873794161871
"380","AIZ",-0.0311,0.173286428194909
"381","WY",-0.0312,0.140218240447087
"382","WYNN",-0.0316,0.278933648582286
"383","ARE",-0.0321,0.1752183489402
"384","SLG",-0.0322,0.278476348835654
"385","DISH",-0.0323,0.155631454549031
"386","HOLX",-0.0325,0.138437648924405
"387","CDNS",-0.0332,0.176415402296949
"388","VRSN",-0.0335,0.101813816292096
"389","DAL",-0.0344,0.239580471769413
"390","PLD",-0.0344,0.210399506779806
"391","KIM",-0.0348,0.249301090612184
"392","XRX",-0.0361,0.142572454318498
"393","NVDA",-0.0372,0.168395648993369
"394","EA",-0.0391,0.141759897013968
"395","URI",-0.0425,0.215989192750883
"396","GE",-0.0439,0.140019107122519
"397","ANDV",-0.0466,0.207589710473289
"398","ZION",-0.0527,0.204664886353425
"399","VLO",-0.0573,0.145123962349079
"400","GRMN",-0.0576,0.169022730422824
"401","KEY",-0.0635,0.151563088892632
"402","TXT",-0.0656,0.273445099387308
"403","RF",-0.0657,0.188391959269919
"404","AIG",-0.0723,0.450981747647904
"405","UAL",-0.0723,0.317045882237113
"406","C",-0.0724,0.290892354666174
